Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
Toyota,Prius,0.7142857142857143,Hatchback,0.4386279191712783,0.42857142857142855,Hybrid,Automatic,0.14473684210526316,0.4913373564337162
Renault,Grand Scenic,0.8,Universal,0.3035983139303292,0.35714285714285715,Diesel,Manual,0.16093117408906882,0.4676124197002141
Renault,Laguna,0.7428571428571429,Universal,0.2473359784132671,0.35714285714285715,Diesel,Manual,0.12044534412955465,0.30406852248394006
Opel,Astra,0.5714285714285714,Universal,0.44988038627469074,0.38095238095238093,Metan/Propan,Manual,0.0708502024291498,0.3458244111349037
Mercedes,Vito,0.4,Microvan,0.6749297283429392,0.5238095238095238,Diesel,Manual,0.05850202429149798,0.3774576601129064
Volkswagen,Passat,0.6857142857142857,Universal,0.6524247941361143,0.33095238095238094,Petrol,Manual,0.10121457489878542,0.6705924339757316
Volkswagen,Touareg,0.6857142857142857,SUV,0.4948902546883404,0.5714285714285714,Diesel,Automatic,0.3319838056680162,0.5082084225553176
Mercedes,Series (W124),0.14285714285714285,Sedan,0.5399001231019901,0.5476190476190477,Petrol,Manual,0.04554655870445344,0.21337293638184707
BMW,5 Series,0.5142857142857142,Sedan,0.7311920638600014,0.07142857142857142,Diesel,Manual,0.05668016194331984,0.5004758505829169
Mercedes,E Class,0.6857142857142857,Sedan,0.47238532048151555,0.5238095238095238,Diesel,Automatic,0.21862348178137653,0.48501070663811563
Mercedes,CLS Class,0.5714285714285714,Coupe,0.6749297283429392,0.7619047619047619,Diesel,Automatic,0.22672064777327935,0.5198072805139187
BMW,7 Series,0.34285714285714286,Sedan,0.6411723270327019,0.8333333333333334,Petrol,Manual,0.06862348178137652,0.3284261241970022
Volkswagen,Golf,0.6,Universal,0.5362340693196983,0.3333333333333333,Petrol,Automatic,0.08906882591093117,0.4402316916488223
Volkswagen,Golf Plus,0.6857142857142857,Hatchback,0.3373557152405665,0.2857142857142857,Petrol,Manual,0.09919028340080972,0.3458244111349037
Volvo,XC60,0.7428571428571429,Crossover,0.40487051786104106,0.5714285714285714,Diesel,Automatic,0.3097165991902834,0.4989293361884368
Nissan,Qashqai,0.7142857142857143,Crossover,0.5646555507294975,0.35714285714285715,Diesel,Manual,0.15587044534412955,0.6330543118551685
Hyundai,Matrix,0.5428571428571428,Universal,0.8617206822595854,0.35714285714285715,Diesel,Manual,0.05263157894736842,0.6250157450560524
Audi,A3,0.6571428571428571,Hatchback,0.5579040704674499,0.47619047619047616,Diesel,Automatic,0.17609311740890687,0.5289079229122056
Mercedes,E Class,0.5142857142857142,Universal,0.7086871296531765,0.42857142857142855,Metan/Propan,Manual,0.12753036437246965,0.48501070663811563
GAZ,31029,0.17142857142857143,Sedan,0.15281525474460275,0.5821428571428572,Petrol,Manual,0.032834008097165995,0.06095645967166309
Renault,Megane,0.7142857142857143,Universal,0.3846160770748987,0.35714285714285715,Diesel,Manual,0.10323886639676114,0.430601518395951
Tesla,Model S,0.7714285714285715,Hatchback,0.25408745867531457,0.0,Electric,Automatic,0.5344129554655871,0.34737092552938376
Mercedes,E Class,0.8,Sedan,0.6197926395362183,0.5238095238095238,Diesel,Automatic,0.35931174089068824,0.9565042826552462
Lincoln,MKZ,0.8857142857142857,Sedan,0.3531091691853439,0.4757142857142857,Hybrid,Automatic,0.3481781376518219,0.871948608137045
Lexus,NX Series,0.8857142857142857,Crossover,0.17081920211006263,0.4757142857142857,Petrol,Automatic,0.5546356275303643,0.42098501070663813
Dodge,Caliber,0.6285714285714286,Hatchback,0.25518119847776627,0.4757142857142857,Metan/Propan,Automatic,0.07884615384615384,0.22351147139798103
Audi,100,0.2,Sedan,0.5286476559985777,0.47619047619047616,Petrol,Manual,0.04757085020242915,0.2234364616407
Porsche,Cayenne,0.7428571428571429,Crossover,0.5701557566496455,0.7142857142857143,Diesel,Automatic,0.5996356275303644,0.7033773019271949
Lexus,RX Series,0.6571428571428571,SUV,0.562405057308815,0.8333333333333334,Hybrid,Automatic,0.3520242914979757,0.5331905781584583
Volkswagen,Passat,0.7428571428571429,Sedan,0.40262002444035855,0.3333333333333333,Metan/Propan,Automatic,0.1862348178137652,0.49614561027837256
BMW,X1,0.8285714285714286,Crossover,0.38186372362140397,0.47619047619047616,Diesel,Automatic,0.3297165991902834,0.6730195778525543
Mercedes,GLC Coupe,0.8857142857142857,Crossover,0.16031614931573748,0.5952380952380952,Diesel,Automatic,0.8664777327935222,0.3950017130620985
Opel,Vectra,0.22857142857142856,Sedan,0.7649494651702385,0.42857142857142855,Petrol,Manual,0.018218623481781375,0.33588253288467423
BMW,7 Series,0.6,Sedan,0.6749297283429392,0.7142857142857143,Diesel,Automatic,0.22064777327935223,0.5546038543897216
Volkswagen,Touran,0.5142857142857142,Minivan,0.6299198599292894,0.047619047619047616,Diesel,Automatic,0.0951417004048583,0.43088270283131097
Volkswagen,Passat,0.6857142857142857,Universal,0.5128942020538003,0.3333333333333333,Metan/Propan,Automatic,0.10323886639676114,0.5267665952890792
Toyota,Auris,0.6857142857142857,Sedan,0.41612298496445344,0.3333333333333333,Diesel,Manual,0.1194331983805668,0.42701641684511066
Nissan,Qashqai,0.6571428571428571,Hatchback,0.450814341044274,0.35714285714285715,Diesel,Manual,0.11336032388663968,0.4270128479657388
BMW,3 Series,0.8571428571428571,Minivan,0.3058488073510117,0.47619047619047616,Diesel,Automatic,0.2550607287449393,0.6288365453247681
BMW,5 Series,0.4857142857142857,Sedan,0.562405057308815,0.7142857142857143,Petrol,Automatic,0.1394736842105263,0.3641383973853263
Dacia,Logan,0.8,Sedan,0.4386279191712783,0.2857142857142857,Metan/Propan,Manual,0.06880566801619434,0.6763918629550321
Dacia,Duster,0.8285714285714286,SUV,0.3823655836542162,0.35714285714285715,Diesel,Manual,0.1659919028340081,0.6739063933924747
Volkswagen,Golf,0.6857142857142857,Universal,0.43075119219888963,0.3333333333333333,Petrol,Manual,0.10323886639676114,0.442094932191292
Volkswagen,Passat,0.14285714285714285,Sedan,0.6569257809774793,0.42857142857142855,Petrol,Manual,0.011133603238866396,0.2600676935829247
BMW,3 Series,0.5142857142857142,Sedan,0.562405057308815,0.47619047619047616,Diesel,Manual,0.07892712550607288,0.384487270996907
Nissan,Qashqai,0.8285714285714286,Crossover,0.35535966260602636,0.35714285714285715,Diesel,Manual,0.2257085020242915,0.6261853777913735
Peugeot,3008,0.9142857142857143,Crossover,0.2968468336682818,0.35714285714285715,Diesel,Automatic,0.32186234817813764,0.9164882226980728
BMW,X5,0.5428571428571428,SUV,0.586035238225981,0.7142857142857143,Petrol,Automatic,0.17002024291497975,0.42442373094848224
Renault,Megane,0.5428571428571428,Universal,0.024786934535396887,0.35714285714285715,Diesel,Manual,0.05263157894736842,0.016052777427887646
Nissan,Qashqai,0.7714285714285715,SUV,0.40487051786104106,0.35714285714285715,Diesel,Manual,0.17002024291497975,0.5546038543897216
Ford,Transit Connect,0.7428571428571429,Minivan,0.34108703333205803,0.42857142857142855,Diesel,Manual,0.06678137651821862,0.42003297644539617
Renault,Scenic,0.8285714285714286,Microvan,0.41720322180638103,0.34785714285714286,Diesel,Manual,0.14068825910931174,0.7354665035178954
BMW,7 Series,0.6571428571428571,Sedan,0.4841103912032713,0.7142857142857143,Diesel,Automatic,0.32186234817813764,0.45869379014989287
Volkswagen,Polo,0.6,Hatchback,0.6884056829459859,0.3333333333333333,Diesel,Manual,0.053643724696356275,0.565716488222698
BMW,5 Series,0.8,Sedan,0.5202083056710184,0.47619047619047616,Diesel,Automatic,0.3522267206477733,0.802529443254818
Vaz,2121niva,0.5142857142857142,Minivan,0.026787623186383613,0.40476190476190477,Petrol,Manual,0.024291497975708502,0.01641684511063526
BMW,5 Series,0.34285714285714286,Sedan,0.024786934535396887,0.5952380952380952,Petrol,Manual,0.05263157894736842,0.010746163454675233
Nissan,Pulsar,0.8,Hatchback,0.19579967907963822,0.2857142857142857,Petrol,Manual,0.14878542510121456,0.3009368308351178
Toyota,Avensis,0.4,Sedan,0.9449889388248374,0.38095238095238093,Metan/Propan,Manual,0.04856275303643725,0.5292972552073194
Honda,CR-V,0.45714285714285713,Universal,0.6188924421679454,0.47619047619047616,Petrol,Manual,0.10728744939271255,0.38076017130620987
BMW,5 Series,0.8285714285714286,Sedan,0.4054016343083221,0.47619047619047616,Diesel,Automatic,0.4230769230769231,0.7146124197002142
Honda,CR-V,0.6857142857142857,Crossover,0.4116219981230885,0.5238095238095238,Diesel,Manual,0.2509919028340081,0.42237687366167026
Nissan,Note,0.7142857142857143,Hatchback,0.4386279191712783,0.35714285714285715,Diesel,Manual,0.09412955465587045,0.4913373564337162
Volkswagen,Passat,0.2,Universal,0.7002567812992999,0.47619047619047616,Metan/Propan,Manual,0.5748987854251012,0.29663309458760984
Opel,Astra,0.6857142857142857,Hatchback,0.42737545206786587,0.30952380952380953,Diesel,Manual,0.1194331983805668,0.4386152748037117
Skoda,Rapid,0.8571428571428571,Universal,0.26083893893736204,0.38047619047619047,Petrol,Automatic,0.19635627530364372,0.53604568165596
Volkswagen,Sharan,0.5714285714285714,Minivan,0.562405057308815,0.47619047619047616,Diesel,Manual,0.12753036437246965,0.4328158458244112
Nissan,Qashqai,0.8285714285714286,Crossover,0.335105221819884,0.2857142857142857,Petrol,Automatic,0.2408906882591093,0.5903946160905476
Skoda,Superb,0.8571428571428571,Sedan,0.3823655836542162,0.47619047619047616,Diesel,Automatic,0.3419028340080972,0.7865810135617416
Toyota,Corolla,0.5714285714285714,Universal,0.5759080178329099,0.3333333333333333,Diesel,Manual,0.09898785425101214,0.44325481798715205
Mazda,Tribute,0.45714285714285713,SUV,0.5736575244122274,0.47619047619047616,Petrol,Manual,0.06862348178137652,0.3527837259100643
Chevrolet,Volt,0.7142857142857143,Hatchback,0.42737545206786587,0.3333333333333333,Plug-in Hybrid,Automatic,0.17307692307692307,0.478684056842515
Volkswagen,Passat,0.45714285714285713,Universal,0.6074149257224647,0.42857142857142855,Petrol,Manual,0.039473684210526314,0.3736616702355461
Volkswagen,Touareg,0.6857142857142857,SUV,0.5286476559985777,0.7142857142857143,Diesel,Automatic,0.41194331983805665,0.5430049964311205
BMW,5 Series,0.4,Sedan,0.5727663290176371,0.5952380952380952,Petrol,Manual,0.07894736842105263,0.3200167412886899
Renault,Megane,0.6571428571428571,Universal,0.37111311655080376,0.35714285714285715,Diesel,Manual,0.08904858299595142,0.3511777301927195
Toyota,C-HR,0.8857142857142857,Crossover,0.25858844551667953,0.42857142857142855,Hybrid,Automatic,0.3522064777327935,0.6381156316916489
BMW,7 Series,0.34285714285714286,Sedan,0.7874543993770634,0.8333333333333334,Petrol,Manual,0.06862348178137652,0.40381870092790867
Mercedes,E Class,0.7428571428571429,Sedan,0.3373557152405665,0.5952380952380952,Diesel,Automatic,0.2811740890688259,0.41541755888650966
Audi,A7,0.9142857142857143,Hatchback,0.06975179308063292,0.7142857142857143,Petrol,Automatic,0.7064777327935222,0.21423072805139187
Renault,Clio,0.5714285714285714,Hatchback,0.6299198599292894,0.34785714285714286,Diesel,Manual,0.07487854251012145,0.48501070663811563
Citroen,C3,0.7428571428571429,Hatchback,0.3261032481371541,0.3333333333333333,Diesel,Automatic,0.12751012145748988,0.40149892933618847
Audi,A6,0.3142857142857143,Sedan,0.06684640607453184,0.5714285714285714,Metan/Propan,Manual,0.043522267206477734,0.031040685224839402
Ford,Fusion,0.7714285714285715,Sedan,0.40036953101967604,0.47619047619047616,Hybrid,Automatic,0.17591093117408907,0.548417796811801
