Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
Toyota,Prius,0.3676829671490637,Hatchback,0.36029874869208367,,Hybrid,Automatic,0.2169955543466512,0.4734059965869885
Renault,Grand Scenic,0.8087603278232458,Universal,-0.07898502335096128,,Diesel,Manual,0.3322533580423098,0.4102516070571258
Renault,Laguna,0.5147818224416055,Universal,-0.32363228930302185,,Diesel,Manual,0.019623058338604463,-0.13826849583007544
Opel,Astra,-0.3689102470265021,Universal,0.3905433848773591,,Metan/Propan,Manual,-0.5300167195429198,0.025585099780192515
Mercedes,Vito,-1.2552494259977915,Microvan,0.8749117270404734,,Diesel,Manual,-0.7190092438572904,0.13711409107843758
Volkswagen,Passat,0.2205109465437882,Universal,0.8344129564840526,,Petrol,Manual,-0.1642226896780526,0.8705895411649383
Volkswagen,Touareg,0.2205109465437882,SUV,0.5044008607980084,,Diesel,Automatic,1.1386039191729234,0.5164949215412891
Mercedes,Series (W124),-2.5897563596310933,Sedan,0.6083445925248685,,Petrol,Manual,-0.9566885270477139,-0.5884836358085884
BMW,5 Series,-0.6640617341702229,Sedan,0.9705306911456045,,Diesel,Manual,-0.7496618122282098,0.4969254603359602
Mercedes,E Class,0.2205109465437882,Sedan,0.44882808178476785,,Diesel,Automatic,0.6697750448078416,0.45686673729181504
Mercedes,CLS Class,-0.3689102470265021,Coupe,0.8749117270404734,,Diesel,Automatic,0.7102357944765065,0.5453000621043403
BMW,7 Series,-1.5512868106991526,Sedan,0.8136367924782755,,Petrol,Manual,-0.5619240014508026,-0.04016135294045852
Volkswagen,Golf,-0.22144483588723396,Universal,0.6002086068013082,,Petrol,Automatic,-0.2971850557293863,0.33327442292067044
Volkswagen,Golf Plus,0.2205109465437882,Hatchback,0.04687857693944316,,Petrol,Manual,-0.1853628195388653,0.025585099780192515
Volvo,XC60,0.5147818224416055,Crossover,0.26467978458695257,,Diesel,Automatic,1.0601205615472724,0.49297545779231966
Nissan,Qashqai,0.3676829671490637,Crossover,0.661879385284354,,Diesel,Manual,0.2974363976548356,0.7969943807581867
Hyundai,Matrix,-0.5164491886657425,Universal,1.1666956146390515,,Diesel,Manual,-0.8207893748205397,0.7806696695797823
Audi,A3,0.07326568780635243,Hatchback,0.6475152925505704,,Diesel,Automatic,0.430777331753976,0.567456355289657
Mercedes,E Class,-0.6640617341702229,Universal,0.9331964239478822,,Metan/Propan,Manual,0.08069794890978908,0.45686673729181504
GAZ,31029,-2.441180237339264,Sedan,-0.8982019022975795,,Petrol,Manual,-1.2487225844669598,-2.1629406957031825
Renault,Megane,0.3676829671490637,Universal,0.20340485002475464,,Diesel,Manual,-0.1434567411199362,0.3050628173638501
Tesla,Model S,0.6618075851320404,Hatchback,-0.291488664359641,,Electric,Automatic,1.6813748681395477,0.03126925459884468
